nom,genre,canton,groupe_parlementaire,vote,parti,multiplicateur,
Addor Jean-Luc,Homme,vs,V,263,UDC,1,
Aebi Andreas,Homme,be,V,123,UDC,1.73,
Aebischer Matthias,Homme,be,S,22,Parti socialiste,1,
Aeschi Thomas,Homme,zg,V,65,UDC,1,
Amaudruz Céline,Femme,ge,V,121,UDC,1,
Amoos Emmanuel,Homme,vs,S,18,Parti socialiste,2.79,
Andrey Gerhard,Homme,fr,G,89,Les Vert-e-s,1,
Arslan Sibel,Femme,bs,G,60,Les Vert-e-s,1,
Atici Mustafa,Homme,bs,S,20,Parti socialiste,1,
Badertscher Christine,Femme,be,G,23,Les Vert-e-s,1,
Badran Jacqueline,Femme,zh,S,29,Parti socialiste,1,
Barrile Angelo,Homme,zh,S,35,Parti socialiste,1,
Baumann Kilian,Homme,be,G,11,Les Vert-e-s,1,
Bäumle Martin,Homme,zh,GL,161,Vert libéraux,1,
Bellaiche Judith,Femme,zh,GL,17,Vert libéraux,1,
Bendahan Samuel,Homme,vd,S,34,Parti socialiste,1,
Bertschy Kathrin,Femme,be,GL,31,Vert libéraux,1,
Binder-Keller Marianne,Femme,ag,M-E,111,Le Centre,1,
Bircher Martina,Femme,ag,V,74,UDC,1,
Birrer-Heimo Prisca,Femme,lu,S,51,Parti socialiste,1,
Borloz Frédéric,Homme,vd,RL,229,Parti libéral-radical,1,
Bourgeois Jacques,Homme,fr,RL,117,Parti libéral-radical,1,
Bregy Philipp Matthias,Homme,vs,M-E,168,Le Centre,1,
Brélaz Daniel,Homme,vd,G,68,Les Vert-e-s,1,
Brenzikofer Florence,Femme,bl,G,37,Les Vert-e-s,1,
Brunner Thomas,Homme,sg,GL,186,Vert libéraux,1,
Büchel Roland Rino,Homme,sg,V,132,UDC,1,
Buffat Michaël,Homme,vd,V,71,UDC,1,
Bulliard-Marbach Christine,Femme,fr,M-E,93,Le Centre,1,
Burgherr Thomas,Homme,ag,V,32,UDC,1,
Candinas Martin,Homme,gr,M-E,91,Le Centre,1,
Cattaneo Rocco,Homme,ti,RL,83,Parti libéral-radical,1,
Christ Katja,Femme,bs,GL,43,Vert libéraux,1,
Clivaz Christophe,Homme,vs,G,26,Les Vert-e-s,1,
Cottier Damien,Homme,ne,RL,168,Parti libéral-radical,1,
de Courten Thomas,Homme,bl,V,105,UDC,1,
Crottaz Brigitte,Femme,vd,S,51,Parti socialiste,1,
Dandrès Christian,Homme,ge,S,66,Parti socialiste,1,
de la Reussille Denis,Homme,ne,G,56,Parti suisse du travail,1,
Dettling Marcel,Homme,sz,V,77,UDC,1,
Dobler Marcel,Homme,sg,RL,125,Parti libéral-radical,1,
Egger Kurt,Homme,tg,G,25,Les Vert-e-s,1,
Egger Mike,Homme,sg,V,77,UDC,1,
Estermann Yvette,Femme,lu,V,139,UDC,1,
von Falkenstein Patricia,Femme,bs,RL,8,Parti libéral-radical,6.06,
Farinelli Alex,Homme,ti,RL,70,Parti libéral-radical,1,
Fehlmann Rielle Laurence,Femme,ge,S,38,Parti socialiste,1,
Feller Olivier,Homme,vd,RL,117,Parti libéral-radical,1,
Feri Yvonne,Femme,ag,S,57,Parti socialiste,1,
Fiala Doris,Femme,zh,RL,102,Parti libéral-radical,1,
Fischer Roland,Homme,lu,GL,48,Vert libéraux,1,
Fivaz Fabien,Homme,ne,G,24,Les Vert-e-s,1,
Flach Beat,Homme,ag,GL,44,Vert libéraux,1,
Fluri Kurt,Homme,so,RL,168,Parti libéral-radical,1,
Fridez Pierre-Alain,Homme,ju,S,50,Parti socialiste,1,
Friedl Claudia,Femme,sg,S,21,Parti socialiste,1,
Friedli Esther,Femme,sg,V,82,UDC,1,
Funiciello Tamara,Femme,be,S,45,Parti socialiste,1,
Gafner Andreas,Homme,be,V,109,UDF,1,
Geissbühler Andrea Martina,Femme,be,V,80,UDC,1,
Giacometti Anna,Femme,gr,RL,187,Parti libéral-radical,1,
Giezendanner Benjamin,Homme,ag,V,41,UDC,1,
Girod Bastien,Homme,zh,G,32,Les Vert-e-s,1,
Glanzmann-Hunkeler Ida,Femme,lu,M-E,105,Le Centre,1,
Glarner Andreas,Homme,ag,V,43,UDC,1,
Glättli Balthasar,Homme,zh,G,20,Les Vert-e-s,1,
Gmür Alois,Homme,sz,M-E,181,Le Centre,1,
Gössi Petra,Femme,sz,RL,36,Parti libéral-radical,1,
Graber Michael,Homme,vs,V,52,UDC,2.63,
Graf-Litscher Edith,Femme,tg,S,64,Parti socialiste,1,
Gredig Corina,Femme,zh,GL,23,Vert libéraux,1,
Grin Jean-Pierre,Homme,vd,V,214,UDC,1,
Grossen Jürg,Homme,be,GL,28,Vert libéraux,1,
Grüter Franz,Homme,lu,V,45,UDC,1,
Gschwind Jean-Paul,Homme,ju,M-E,112,Le Centre,1,
Gugger Niklaus-Samuel,Homme,zh,M-E,654,Parti évangélique suisse,1,
Guggisberg Lars,Homme,be,V,68,UDC,1,
Gutjahr Diana,Femme,tg,V,105,UDC,1,
Gysi Barbara,Femme,sg,S,52,Parti socialiste,1,
Gysin Greta,Femme,ti,G,49,Les Vert-e-s,1,
Haab Martin,Homme,zh,V,47,UDC,1,
Heer Alfred,Homme,zh,V,99,UDC,1,
Heimgartner Stefanie,Femme,ag,V,43,UDC,1,
Herzog Verena,Femme,tg,V,183,UDC,1,
Hess Erich,Homme,be,V,201,UDC,1,
Hess Lorenz,Homme,be,M-E,139,Le Centre,1,
Huber Alois,Homme,ag,V,56,UDC,1.06,
Humbel Ruth,Femme,ag,M-E,146,Le Centre,1,
Hurni Baptiste,Homme,ne,S,36,Parti socialiste,1,
Hurter Thomas,Homme,sh,V,250,UDC,1,
Imark Christian,Homme,so,V,65,UDC,1,
Jauslin Matthias Samuel,Homme,ag,RL,106,Parti libéral-radical,1,
Kälin Irène,Femme,ag,G,18,Les Vert-e-s,1.09,
Kamerzin Sidney,Homme,vs,M-E,131,Le Centre,1,
Keller Peter,Homme,nw,V,64,UDC,1,
Klopfenstein Broggini Delphine,Femme,ge,G,15,Les Vert-e-s,1,
Köppel Roger,Homme,zh,V,54,UDC,1,
Kutter Philipp,Homme,zh,M-E,105,Le Centre,1,
